Namespace(adam_epsilon=1e-06, batch_num=16, data_dir='/cluster/work/sachan/yifan/data/wikidata/downstream', device=7, epoch=10, lr=1e-08, model_dir='/cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base', model_name='XLM-KG', modelkg_dir='/cluster/project/sachan/yifan/projects/Multilingual_Space/tmp/xlm_adapter', neg_num=1, patience=2, task_name='kgc', tmp_dir='./tmp/checkpoints', weight_decay=0.0001)
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight', 'lm_head.dense.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Overwriting existing adapter 'ep'.
Overwriting existing adapter 'tp'.
Overwriting existing adapter 'es'.
Overwriting existing adapter 'ts'.
Overwriting existing adapter fusion module 'ep,tp,es,ts'
Some weights of the model checkpoint at /cluster/work/sachan/yifan/huggingface_models/xlm-roberta-base were not used when initializing XLMRobertaModel: ['lm_head.bias', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.decoder.weight', 'lm_head.dense.weight']
- This IS expected if you are initializing XLMRobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing XLMRobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Overwriting existing adapter 'ep'.
Overwriting existing adapter 'tp'.
Overwriting existing adapter 'es'.
Overwriting existing adapter 'ts'.
Overwriting existing adapter fusion module 'ep,tp,es,ts'
...testing...
KGC: [ el ] | test hit@1:  0.07763 hit@10:  0.25139 MRR:  0.1069
KGC: [ en ] | test hit@1:  0.0879 hit@10:  0.19118 MRR:  0.10696
KGC: [ es ] | test hit@1:  0.0873 hit@10:  0.19654 MRR:  0.10682
KGC: [ fr ] | test hit@1:  0.08138 hit@10:  0.18733 MRR:  0.10296
KGC: [ ja ] | test hit@1:  0.04204 hit@10:  0.13351 MRR:  0.0612
KGC: [ ast ] | test hit@1:  0.09458 hit@10:  0.22954 MRR:  0.11831
KGC: [ ca ] | test hit@1:  0.10713 hit@10:  0.23184 MRR:  0.12669
KGC: [ da ] | test hit@1:  0.10561 hit@10:  0.22837 MRR:  0.12489
KGC: [ de ] | test hit@1:  0.09411 hit@10:  0.1966 MRR:  0.11158
KGC: [ fa ] | test hit@1:  0.05453 hit@10:  0.16831 MRR:  0.07795
KGC: [ fi ] | test hit@1:  0.07242 hit@10:  0.19287 MRR:  0.09649
KGC: [ hu ] | test hit@1:  0.10516 hit@10:  0.23886 MRR:  0.12865
KGC: [ it ] | test hit@1:  0.09823 hit@10:  0.20863 MRR:  0.11975
KGC: [ nb ] | test hit@1:  0.11005 hit@10:  0.23482 MRR:  0.13189
KGC: [ nl ] | test hit@1:  0.08364 hit@10:  0.19439 MRR:  0.10494
KGC: [ pl ] | test hit@1:  0.09006 hit@10:  0.22081 MRR:  0.11398
KGC: [ pt ] | test hit@1:  0.11055 hit@10:  0.22582 MRR:  0.12737
KGC: [ ru ] | test hit@1:  0.04815 hit@10:  0.15552 MRR:  0.06771
KGC: [ sv ] | test hit@1:  0.10925 hit@10:  0.22653 MRR:  0.13208
KGC: [ zh ] | test hit@1:  0.04786 hit@10:  0.16364 MRR:  0.07064
...testing...
KGC: [ el ] | test hit@1:  0.07671 hit@10:  0.23475 MRR:  0.11
KGC: [ en ] | test hit@1:  0.08539 hit@10:  0.21123 MRR:  0.10752
KGC: [ es ] | test hit@1:  0.08608 hit@10:  0.21092 MRR:  0.10957
KGC: [ fr ] | test hit@1:  0.08003 hit@10:  0.18823 MRR:  0.10187
